,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
0,0.368,0.792,7,-6.804,1,0.0396,0.00186,0.0314,0.374,0.0794,122.818,audio_features,3TeV1sADwT0CO1xSMXYDDw,spotify:track:3TeV1sADwT0CO1xSMXYDDw,https://api.spotify.com/v1/tracks/3TeV1sADwT0CO1xSMXYDDw,https://api.spotify.com/v1/audio-analysis/3TeV1sADwT0CO1xSMXYDDw,241236,4,house
1,0.54,0.897,0,-3.246,1,0.029,0.118,0.0,0.171,0.428,127.954,audio_features,2cXlDeF2sUoZRQgYQZ2nb0,spotify:track:2cXlDeF2sUoZRQgYQZ2nb0,https://api.spotify.com/v1/tracks/2cXlDeF2sUoZRQgYQZ2nb0,https://api.spotify.com/v1/audio-analysis/2cXlDeF2sUoZRQgYQZ2nb0,200625,4,house
2,0.608,0.673,8,-7.36,1,0.0319,0.107,0.0326,0.0857,0.27,125.988,audio_features,6AWSlLG6g7O4upurhoClB3,spotify:track:6AWSlLG6g7O4upurhoClB3,https://api.spotify.com/v1/tracks/6AWSlLG6g7O4upurhoClB3,https://api.spotify.com/v1/audio-analysis/6AWSlLG6g7O4upurhoClB3,212416,4,house
3,0.555,0.574,5,-7.611,0,0.0396,0.0239,0.0,0.0781,0.194,127.967,audio_features,6xkmvFnns7283cWrtm0BDo,spotify:track:6xkmvFnns7283cWrtm0BDo,https://api.spotify.com/v1/tracks/6xkmvFnns7283cWrtm0BDo,https://api.spotify.com/v1/audio-analysis/6xkmvFnns7283cWrtm0BDo,233491,4,house
4,0.567,0.839,1,-3.382,1,0.0679,0.0661,0.000386,0.521,0.335,127.928,audio_features,0Q8rFlUXQs45v3Euxb6O1M,spotify:track:0Q8rFlUXQs45v3Euxb6O1M,https://api.spotify.com/v1/tracks/0Q8rFlUXQs45v3Euxb6O1M,https://api.spotify.com/v1/audio-analysis/0Q8rFlUXQs45v3Euxb6O1M,195000,4,house
5,0.466,0.612,8,-4.855,0,0.0307,0.0655,4.07e-06,0.132,0.236,128.114,audio_features,4aTtHoSBB0CuQGA6vXBNyp,spotify:track:4aTtHoSBB0CuQGA6vXBNyp,https://api.spotify.com/v1/tracks/4aTtHoSBB0CuQGA6vXBNyp,https://api.spotify.com/v1/audio-analysis/4aTtHoSBB0CuQGA6vXBNyp,239067,4,house
6,0.503,0.825,7,-4.143,0,0.0376,0.0212,0.00197,0.114,0.352,126.052,audio_features,0zh2TltPUm0eHEQH9iZuPW,spotify:track:0zh2TltPUm0eHEQH9iZuPW,https://api.spotify.com/v1/tracks/0zh2TltPUm0eHEQH9iZuPW,https://api.spotify.com/v1/audio-analysis/0zh2TltPUm0eHEQH9iZuPW,213214,4,house
7,0.58,0.824,11,-3.774,0,0.0766,0.0229,0.0,0.115,0.254,126.951,audio_features,7C9SonafFzEtoheAQDQ2UW,spotify:track:7C9SonafFzEtoheAQDQ2UW,https://api.spotify.com/v1/tracks/7C9SonafFzEtoheAQDQ2UW,https://api.spotify.com/v1/audio-analysis/7C9SonafFzEtoheAQDQ2UW,194656,4,house
8,0.592,0.758,4,-4.612,1,0.0811,0.0703,0.0,0.162,0.451,124.963,audio_features,4teHQ0Z69VHX0JFWw7p0It,spotify:track:4teHQ0Z69VHX0JFWw7p0It,https://api.spotify.com/v1/tracks/4teHQ0Z69VHX0JFWw7p0It,https://api.spotify.com/v1/audio-analysis/4teHQ0Z69VHX0JFWw7p0It,211440,4,house
9,0.572,0.951,6,-2.036,1,0.0412,0.0182,0.00866,0.313,0.151,131.956,audio_features,0Xnj524QeZdv6TL1lgSUie,spotify:track:0Xnj524QeZdv6TL1lgSUie,https://api.spotify.com/v1/tracks/0Xnj524QeZdv6TL1lgSUie,https://api.spotify.com/v1/audio-analysis/0Xnj524QeZdv6TL1lgSUie,227494,4,house
10,0.699,0.702,5,-5.16,1,0.145,0.0138,0.0541,0.138,0.298,128.028,audio_features,3Rw2tklHGp1R9ddpCFeab0,spotify:track:3Rw2tklHGp1R9ddpCFeab0,https://api.spotify.com/v1/tracks/3Rw2tklHGp1R9ddpCFeab0,https://api.spotify.com/v1/audio-analysis/3Rw2tklHGp1R9ddpCFeab0,351053,4,house
